Planet,Mass (kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (km/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (AU),Aphelion (AU),Semi Major Axis (km),Orbital Period (years),Orbital Velocity (km/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Distance from Sun (10^6 km),Perihelion (10^6 km),Aphelion (10^6 km)
Mercury,0.33 kg,3.261410056954775e-05 AU,5429.0 kg / m3,3.7 m / s2,4.3 km / s,1407.6 h,4222.6 h,3.87037594379343e-07 AU,3.074910076243485e-07 AU,4.665841811343375e-07 AU,57.9 km,0.24093086926762491 yr,47.4 km / s,7.0 deg,0.206,0.034 deg,167.0 deg_C,0.0 bar,0,No,Yes,57.9 km,46.0 km,69.8 km
Venus,4.87 kg,8.091024252793726e-05 AU,5243.0 kg / m3,8.9 m / s2,10.4 km / s,-5832.5 h,2802.0 h,7.232723266294459e-07 AU,7.185931156438579e-07 AU,7.279515376150337e-07 AU,108.2 km,0.6151950718685831 yr,35.0 km / s,3.4 deg,0.007,177.4 deg,464.0 deg_C,92.0 bar,0,No,No,108.2 km,107.5 km,108.9 km
Earth,5.97 kg,8.526859333165629e-05 AU,5514.0 kg / m3,9.8 m / s2,11.2 km / s,23.9 h,24.0 h,1.0000142334913594e-06 AU,9.833027656856884e-07 AU,1.0167257012970306e-06 AU,149.6 km,0.9998631074606433 yr,29.8 km / s,0.0 deg,0.017,23.4 deg,15.0 deg_C,1.0 bar,1,No,Yes,149.6 km,147.1 km,152.1 km
Moon,0.073 kg,2.3228940249882847e-05 AU,3340.0 kg / m3,1.6 m / s2,2.4 km / s,655.7 h,708.7 h,2.566881454951083e-09 AU,2.4265051253834456e-09 AU,2.7139423716409893e-09 AU,0.3845 km,0.07474332648870637 yr,1.0 km / s,5.1 deg,0.055,6.7 deg,-20.0 deg_C,0.0 bar,0,No,No,0.384 km,0.363 km,0.406 km
Mars,0.642 kg,4.540171573444728e-05 AU,3934.0 kg / m3,3.7 m / s2,5.0 km / s,24.6 h,24.7 h,1.5240858638772055e-06 AU,1.3817041581728876e-06 AU,1.6664675695815235e-06 AU,228.0 km,1.8809034907597535 yr,24.1 km / s,1.8 deg,0.094,25.2 deg,-65.0 deg_C,0.01 bar,2,No,No,228.0 km,206.7 km,249.3 km
Jupiter,1898.0 kg,0.0009557890050904314 AU,1326.0 kg / m3,23.1 m / s2,59.5 km / s,9.9 h,9.9 h,5.203951074685985e-06 AU,4.950605222752011e-06 AU,5.457296926619959e-06 AU,778.5 km,11.85763175906913 yr,13.1 km / s,1.3 deg,0.049,3.1 deg,-110.0 deg_C,nan bar,95,Yes,Yes,778.5 km,740.6 km,816.4 km
Saturn,568.0 kg,0.0008057333933697493 AU,687.0 kg / m3,9.0 m / s2,35.5 km / s,10.7 h,10.7 h,9.572328759088415e-06 AU,9.07499547719164e-06 AU,1.0070330499697414e-05 AU,1432.05 km,29.423682409308693 yr,9.7 km / s,2.5 deg,0.052,26.7 deg,-140.0 deg_C,nan bar,274,Yes,Yes,1432.0 km,1357.6 km,1506.5 km
Uranus,86.8 kg,0.0003417027245161184 AU,1270.0 kg / m3,8.7 m / s2,21.3 km / s,-17.2 h,17.2 h,1.9164711279543634e-05 AU,1.826697122902298e-05 AU,2.0063119788776515e-05 AU,2867.05 km,83.74811772758385 yr,6.8 km / s,0.8 deg,0.047,97.8 deg,-195.0 deg_C,nan bar,28,Yes,Yes,2867.0 km,2732.7 km,3001.4 km
Neptune,102.0 kg,0.0003310742309917116 AU,1638.0 kg / m3,11.0 m / s2,23.5 km / s,16.1 h,16.1 h,3.0180910857042032e-05 AU,2.988745748237445e-05 AU,3.0474364231709616e-05 AU,4515.0 km,163.72347707049965 yr,5.4 km / s,1.8 deg,0.01,28.3 deg,-200.0 deg_C,nan bar,16,Yes,Yes,4515.0 km,4471.1 km,4558.9 km
Pluto,0.013 kg,1.588257900250983e-05 AU,1850.0 kg / m3,0.7 m / s2,1.3 km / s,-153.3 h,153.3 h,3.9481845378966344e-05 AU,2.965817614408064e-05 AU,4.9304846155139826e-05 AU,5906.35 km,247.93976728268308 yr,4.7 km / s,17.2 deg,0.244,119.5 deg,-225.0 deg_C,1e-05 bar,5,No,Unknown,5906.4 km,4436.8 km,7375.9 km
